nombre;descripcion;precio_mensual;duracion_meses;clases_incluidas;acceso_areas_especiales;estado
Diamond 425;Acceso a áreas especiales y spa;113.19;17;18;0;1
Silver 426;Membresía avanzada para atletas;64.98;12;3;1;0
Pro 427;Incluye clases grupales ilimitadas;24.66;17;0;0;1
Diamond 428;Ideal para entrenamiento de fuerza;69.76;18;6;1;0
Pro 429;Incluye clases grupales ilimitadas;54.53;3;15;0;0
Diamond 430;Ideal para entrenamiento de fuerza;48.71;18;11;0;0
Premium 431;Incluye entrenador personal mensual;71.98;22;2;1;1
Diamond 432;Plan diseñado para principiantes;81.65;3;11;1;0
Gold 433;Acceso total a todas las áreas;108.58;4;18;1;0
Basic 434;Plan diseñado para principiantes;105.65;10;13;1;1
Basic 435;Plan económico con beneficios limitados;71.13;5;6;1;0
Pro 436;Ideal para entrenamiento de fuerza;108.71;23;13;1;0
Pro 437;Plan económico con beneficios limitados;28.24;19;19;0;0
Diamond 438;Acceso a áreas especiales y spa;91.53;15;16;0;0
Max 439;Ideal para entrenamiento de fuerza;17.85;17;17;1;1
Silver 440;Acceso a áreas especiales y spa;113.33;13;10;0;1
Max 441;Acceso al gimnasio y máquinas básicas;108.89;9;18;0;1
Premium 442;Plan económico con beneficios limitados;20.47;23;17;0;0
Diamond 443;Acceso al gimnasio y máquinas básicas;66.95;19;18;1;0
Premium 444;Membresía avanzada para atletas;84.83;21;7;0;1
Silver 445;Incluye clases grupales ilimitadas;25.78;2;9;1;0
Basic 446;Acceso a áreas especiales y spa;48.37;13;20;0;1
Max 447;Acceso al gimnasio y máquinas básicas;61.35;6;12;1;1
Silver 448;Perfecto para uso ocasional;99.47;19;20;1;1
Basic 449;Incluye clases grupales ilimitadas;100.53;23;7;1;1
Gold 450;Plan diseñado para principiantes;78.44;20;9;1;0
Premium 451;Incluye clases grupales ilimitadas;105.14;3;18;1;1
Diamond 452;Acceso a áreas especiales y spa;96.9;9;12;1;0
Gold 453;Ideal para entrenamiento de fuerza;26.56;19;8;0;0
Gold 454;Incluye entrenador personal mensual;13.39;16;14;1;1
Premium 455;Plan diseñado para principiantes;21.22;24;12;0;1
Silver 456;Incluye entrenador personal mensual;33.54;20;8;1;1
Silver 457;Acceso al gimnasio y máquinas básicas;88.2;22;3;0;1
Starter 458;Plan diseñado para principiantes;17.87;4;9;0;0
Premium 459;Perfecto para uso ocasional;63.24;10;2;0;0
Premium 460;Incluye clases grupales ilimitadas;105.44;23;16;0;0
Premium 461;Perfecto para uso ocasional;22.91;5;3;1;1
Pro 462;Acceso total a todas las áreas;22.33;22;13;1;0
Plus 463;Plan diseñado para principiantes;100.4;7;12;0;1
Premium 464;Perfecto para uso ocasional;14.58;5;20;1;0
Starter 465;Plan diseñado para principiantes;48.46;4;4;0;0
Basic 466;Incluye entrenador personal mensual;113.98;7;9;0;1
Starter 467;Incluye clases grupales ilimitadas;83.89;2;18;0;1
Plus 468;Plan diseñado para principiantes;98.22;7;7;0;0
Plus 469;Incluye clases grupales ilimitadas;87.24;12;7;0;1
Plus 470;Incluye entrenador personal mensual;53.18;16;17;1;1
Silver 471;Incluye entrenador personal mensual;63.19;10;20;0;1
Silver 472;Plan diseñado para principiantes;12.54;13;15;1;0
Starter 473;Acceso total a todas las áreas;88.83;14;19;1;0
Pro 474;Acceso total a todas las áreas;104.66;23;7;1;1
Diamond 475;Incluye clases grupales ilimitadas;77.87;14;20;1;1
Basic 476;Acceso total a todas las áreas;53.03;9;9;1;0
Max 477;Acceso al gimnasio y máquinas básicas;115.66;12;3;0;1
Diamond 478;Plan económico con beneficios limitados;55.42;18;20;0;0
Plus 479;Ideal para entrenamiento de fuerza;44.96;7;15;1;0
Max 480;Plan económico con beneficios limitados;82.71;23;14;0;1
Max 481;Membresía avanzada para atletas;85.51;10;16;1;1
Silver 482;Plan económico con beneficios limitados;103.51;20;8;0;1
Premium 483;Plan económico con beneficios limitados;97.35;22;15;1;0
Elite 484;Perfecto para uso ocasional;75.28;8;15;0;0
Pro 485;Acceso a áreas especiales y spa;56.9;14;15;1;1
Gold 486;Acceso a áreas especiales y spa;110.19;16;19;0;1
Starter 487;Perfecto para uso ocasional;85.68;15;6;0;0
Pro 488;Acceso a áreas especiales y spa;111.42;16;0;1;1
Max 489;Ideal para entrenamiento de fuerza;20.37;15;2;1;1
Diamond 490;Acceso al gimnasio y máquinas básicas;90.27;12;2;1;0
Plus 491;Acceso al gimnasio y máquinas básicas;105.36;20;0;1;1
Diamond 492;Incluye clases grupales ilimitadas;78.71;24;19;0;1
Gold 493;Incluye clases grupales ilimitadas;111.33;14;8;1;1
Diamond 494;Acceso total a todas las áreas;71.19;19;4;1;0
Basic 495;Acceso total a todas las áreas;22.57;5;13;0;1
Basic 496;Acceso total a todas las áreas;48.13;6;15;1;0
Silver 497;Acceso total a todas las áreas;77.66;9;6;0;1
Plus 498;Membresía avanzada para atletas;82.78;16;14;0;0
Silver 499;Plan económico con beneficios limitados;71.96;19;5;1;1
Silver 500;Ideal para entrenamiento de fuerza;38.84;15;1;0;0
